Year,League,TeamIdAlt,FranchiseId,Division,Rank,Wins,Losses,Runs,HomeRuns,ERA,Name,Park,TeamId
1871,NA,BS1,BNA,,3,20,10,401,3,3.55,Boston Red Stockings,South End Grounds I,BOS
1871,NA,CH1,CNA,,2,19,9,302,10,2.76,Chicago White Stockings,Union Base-Ball Grounds,CHI
1871,NA,CL1,CFC,,8,10,19,249,7,4.11,Cleveland Forest Citys,National Association Grounds,CLE
1871,NA,FW1,KEK,,7,7,12,137,2,5.17,Fort Wayne Kekiongas,Hamilton Field,KEK
1871,NA,NY2,NNA,,5,16,17,302,1,3.72,New York Mutuals,Union Grounds (Brooklyn),NYU
1871,NA,PH1,PNA,,1,21,7,376,9,4.95,Philadelphia Athletics,Jefferson Street Grounds,ATH
1871,NA,RC1,ROK,,9,4,21,231,3,4.3,Rockford Forest Citys,Agricultural Society Fair Grounds,ROK
1871,NA,TRO,TRO,,6,13,15,351,6,5.51,Troy Haymakers,Haymakers' Grounds,TRO
1871,NA,WS3,OLY,,4,15,15,310,6,4.37,Washington Olympics,Olympics Grounds,OLY
1872,NA,BL1,BLC,,2,35,19,617,14,3.02,Baltimore Canaries,Newington Park,BAL
1872,NA,BR1,ECK,,9,3,26,152,0,5.73,Brooklyn Eckfords,Union Grounds,ECK
1872,NA,BR2,BRA,,6,9,28,237,0,5.06,Brooklyn Atlantics,Capitoline Grounds,BRA
1872,NA,BS1,BNA,,1,39,8,521,7,1.99,Boston Red Stockings,South End Grounds I,BOS
1872,NA,CL1,CFC,,7,6,16,174,0,4.57,Cleveland Forest Citys,National Association Grounds,CLE
1872,NA,MID,MAN,,8,5,19,220,1,5.97,Middletown Mansfields,Mansfield Club Grounds,MAN
1872,NA,NY2,NNA,,3,34,20,523,4,2.55,New York Mutuals,Union Grounds (Brooklyn),NYU
1872,NA,PH1,PNA,,4,30,14,539,4,3.01,Philadelphia Athletics,Jefferson Street Grounds,ATH
1872,NA,TRO,TRO,,5,15,10,273,5,3.08,Troy Haymakers,Haymakers' Grounds,TRO
1872,NA,WS3,OLY,,10,2,7,54,0,6.38,Washington Olympics,Olympics Grounds,OLY
1872,NA,WS4,NAT,,11,0,11,80,0,6.91,Washington Nationals,Nationals Grounds,NAT
1873,NA,BL1,BLC,,3,34,22,644,12,3.01,Baltimore Canaries,Newington Park,BAL
1873,NA,BL4,MAR,,9,0,6,26,0,8,Baltimore Marylands,Newington Park,MAR
1873,NA,BR2,BRA,,6,17,37,366,6,3.98,Brooklyn Atlantics,Union Grounds,BRA
1873,NA,BS1,BNA,,1,43,16,739,13,2.59,Boston Red Stockings,South End Grounds I,BOS
1873,NA,ELI,RES,,8,2,21,98,0,3.22,Elizabeth Resolutes,Waverly Fairgrounds,RES
1873,NA,NY2,NNA,,4,29,24,424,5,2.62,New York Mutuals,Union Grounds (Brooklyn),NYU
1873,NA,PH1,PNA,,5,28,23,474,4,3.03,Philadelphia Athletics,Jefferson Street Grounds,ATH
1873,NA,PH2,PWS,,2,36,17,526,8,2.77,Philadelphia Whites,Jefferson Street Grounds,PHI
1873,NA,WS5,WBL,,7,8,31,283,3,4.71,Washington Blue Legs,Olympics Grounds,WAS
1874,NA,BL1,BLC,,8,9,38,227,1,4.31,Baltimore Canaries,Newington Park,BAL
1874,NA,BR2,BRA,,6,22,33,301,1,3.2,Brooklyn Atlantics,Union Grounds,BRA
1874,NA,BS1,BNA,,1,52,18,735,18,2.36,Boston Red Stockings,South End Grounds I,BOS
1874,NA,CH2,CNA,,5,28,31,418,3,3.24,Chicago White Stockings,23rd Street Grounds,CHI
1874,NA,HR1,HNA,,7,16,37,371,2,3.54,Hartford Dark Blues,Hartford Ball Club Grounds,HAR
1874,NA,NY2,NNA,,2,42,23,500,8,2.3,New York Mutuals,Union Grounds (Brooklyn),NYU
1874,NA,PH1,PNA,,3,33,22,441,6,2.55,Philadelphia Athletics,Jefferson Street Grounds,ATH
1874,NA,PH2,PWS,,4,29,29,476,3,2.95,Philadelphia Whites,Jefferson Street Grounds,PHI
1875,NA,BR2,BRA,,11,2,42,132,2,3.95,Brooklyn Atlantics,Union Grounds,BRA
1875,NA,BS1,BNA,,1,71,8,831,14,1.7,Boston Red Stockings,South End Grounds I,BOS
1875,NA,CH2,CNA,,6,30,37,379,0,2.4,Chicago White Stockings,23rd Street Grounds,CHI
1875,NA,HR1,HNA,,3,54,28,557,2,1.61,Hartford Dark Blues,Hartford Ball Club Grounds,HAR
1875,NA,KEO,WES,,13,1,12,45,0,2.81,Keokuk Westerns,Perry Park,WES
1875,NA,NH1,NHV,,8,7,40,170,2,3.34,New Haven Elm Citys,Hamilton Park,NHV
1875,NA,NY2,NNA,,6,30,38,328,7,2.4,New York Mutuals,Union Grounds (Brooklyn),NYU
1875,NA,PH1,PNA,,2,53,20,699,10,2.11,Philadelphia Athletics,Jefferson Street Grounds,ATH
1875,NA,PH2,PWS,,5,37,31,470,5,2.15,Philadelphia Whites,Jefferson Street Grounds,PHI
1875,NA,PH3,CEN,,11,2,12,70,0,3.93,Philadelphia Centennials,Centennial Grounds,CEN
1875,NA,SL1,SLR,,10,4,15,60,0,3.37,St. Louis Red Stockings,Red Stocking Baseball Park,SLR
1875,NA,SL2,SNA,,4,39,29,386,0,2.11,St. Louis Brown Stockings,Grand Avenue Park,STL
1875,NA,WS6,WNT,,9,5,23,107,0,4.86,Washington Nationals,Olympics Grounds,WAS
1876,NL,BSN,ATL,,4,39,31,471,9,2.51,Boston Red Caps,South End Grounds I,BSN
1876,NL,CHN,CHC,,1,52,14,624,8,1.76,Chicago White Stockings,23rd Street Grounds,CHC
1876,NL,CN1,CNR,,8,9,56,238,4,3.62,Cincinnati Reds,Avenue Grounds,CIN
1876,NL,HAR,HAR,,2,47,21,429,2,1.67,Hartford Dark Blues,Hartford Ball Club Grounds,HAR
1876,NL,LS1,LGR,,5,30,36,280,6,1.69,Louisville Grays,Louisville Baseball Park,LOU
1876,NL,NY3,NYU,,6,21,35,260,2,2.94,New York Mutuals,Union Grounds (Brooklyn),NYU
1876,NL,PHN,ATH,,7,14,45,378,7,3.22,Philadelphia Athletics,Jefferson Street Grounds,ATH
1876,NL,SL3,SBS,,3,45,19,386,2,1.22,St. Louis Brown Stockings,Sportsman's Park I,STL
1877,NL,BSN,ATL,,1,42,18,419,4,2.15,Boston Red Caps,South End Grounds I,BSN
1877,NL,CHN,CHC,,5,26,33,366,0,3.37,Chicago White Stockings,23rd Street Grounds,CHC
1877,NL,CN1,CNR,,6,15,42,291,6,4.19,Cincinnati Reds,Avenue Grounds,CIN
1877,NL,HAR,HAR,,3,31,27,341,4,2.32,Hartford Dark Blues,Union Grounds (Brooklyn),HAR
1877,NL,LS1,LGR,,2,35,25,339,9,2.25,Louisville Grays,Louisville Baseball Park,LOU
1877,NL,SL3,SBS,,4,28,32,284,1,2.66,St. Louis Brown Stockings,Sportsman's Park I,STL
1878,NL,BSN,ATL,,1,41,19,298,2,2.32,Boston Red Caps,South End Grounds I,BSN
1878,NL,CHN,CHC,,4,30,30,371,3,2.37,Chicago White Stockings,Lake Front Park I,CHC
1878,NL,CN1,CNR,,2,37,23,333,5,1.84,Cincinnati Reds,Avenue Grounds,CIN
1878,NL,IN1,IBL,,5,24,36,293,3,2.32,Indianapolis Blues,South Street Park,IND
1878,NL,ML2,MLG,,6,15,45,256,2,2.6,Milwaukee Grays,Eclipse Park II,MLG
1878,NL,PRO,PRO,,3,33,27,353,8,2.38,Providence Grays,Messer Street Grounds,PRO
1879,NL,BFN,BUF,,3,46,32,394,2,2.34,Buffalo Bisons,Riverside Park,BUF
1879,NL,BSN,ATL,,2,54,30,562,20,2.19,Boston Red Caps,South End Grounds I,BSN
1879,NL,CHN,CHC,,4,46,33,437,3,2.46,Chicago White Stockings,Lake Front Park I,CHC
1879,NL,CL2,CBL,,6,27,55,322,4,2.65,Cleveland Blues,Kennard Street Park,CLV
1879,NL,CN1,CNR,,5,43,37,485,8,2.29,Cincinnati Reds,Avenue Grounds,CIN
1879,NL,PRO,PRO,,1,59,25,612,12,2.18,Providence Grays,Messer Street Grounds,PRO
1879,NL,SR1,SYR,,7,22,48,276,5,3.19,Syracuse Stars,Newell Park,SYR
1879,NL,TRN,TRT,,8,19,56,321,4,2.8,Troy Trojans,Putnam Grounds,TRO
1880,NL,BFN,BUF,,7,24,58,331,3,3.09,Buffalo Bisons,Riverside Park,BUF
1880,NL,BSN,ATL,,6,40,44,416,20,3.08,Boston Red Caps,South End Grounds I,BSN
1880,NL,CHN,CHC,,1,67,17,538,4,1.93,Chicago White Stockings,Lake Front Park I,CHC
1880,NL,CL2,CBL,,3,47,37,387,7,1.9,Cleveland Blues,Kennard Street Park,CLV
1880,NL,CN1,CNR,,8,21,59,296,7,2.44,Cincinnati Reds,Bank Street Grounds,CIN
1880,NL,PRO,PRO,,2,52,32,419,8,1.64,Providence Grays,Messer Street Grounds,PRO
1880,NL,TRN,TRT,,4,41,42,392,5,2.74,Troy Trojans,Haymakers' Grounds,TRO
1880,NL,WOR,WOR,,5,40,43,412,8,2.27,Worcester Ruby Legs,Worcester Driving Park Grounds,WOR
1881,NL,BFN,BUF,,3,45,38,440,12,2.84,Buffalo Bisons,Riverside Park,BUF
1881,NL,BSN,ATL,,6,38,45,349,5,2.71,Boston Red Caps,South End Grounds I,BSN
1881,NL,CHN,CHC,,1,56,28,550,12,2.43,Chicago White Stockings,Lake Front Park I,CHC
1881,NL,CL2,CBL,,7,36,48,392,7,2.68,Cleveland Blues,Kennard Street Park,CLV
1881,NL,DTN,DTN,,4,41,43,439,17,2.65,Detroit Wolverines,Recreation Park,DTN
1881,NL,PRO,PRO,,2,47,37,447,11,2.4,Providence Grays,Messer Street Grounds,PRO
1881,NL,TRN,TRT,,5,39,45,399,5,2.97,Troy Trojans,Haymakers' Grounds,TRO
1881,NL,WOR,WOR,,8,32,50,410,7,3.54,Worcester Ruby Legs,Worcester Driving Park Grounds,WOR
1882,NL,BFN,BUF,,3,45,39,500,18,3.25,Buffalo Bisons,Riverside Park,BUF
1882,AA,BL2,BLO,,6,19,54,273,4,3.87,Baltimore Orioles,Newington Park,BAL
1882,NL,BSN,ATL,,3,45,39,472,15,2.8,Boston Red Caps,South End Grounds I,BSN
1882,NL,CHN,CHC,,1,55,29,604,15,2.22,Chicago White Stockings,Lake Front Park I/Lake Front Park II,CHC
